Time, GPU Index, Temp C, GPU %, Memory %
2016-11-21 20:25:24.382000,GPU0,36,1,1
2016-11-21 20:25:26.384000,GPU0,35,3,3
2016-11-21 20:25:28.386000,GPU0,36,1,1
2016-11-21 20:25:30.389000,GPU0,36,3,1
2016-11-21 20:25:32.392000,GPU0,38,54,25
2016-11-21 20:25:34.395000,GPU0,43,40,20
2016-11-21 20:25:36.398000,GPU0,48,99,61
2016-11-21 20:25:38.401000,GPU0,42,10,4
2016-11-21 20:25:40.405000,GPU0,49,99,49
2016-11-21 20:25:42.407000,GPU0,51,99,48
2016-11-21 20:25:44.410000,GPU0,52,99,47
2016-11-21 20:25:46.414000,GPU0,53,99,44
2016-11-21 20:25:48.416000,GPU0,54,99,43
2016-11-21 20:25:50.419000,GPU0,55,99,42
2016-11-21 20:25:52.422000,GPU0,56,100,41
2016-11-21 20:25:54.425000,GPU0,57,99,44
2016-11-21 20:25:56.428000,GPU0,58,99,43
2016-11-21 20:25:58.431000,GPU0,59,99,43
2016-11-21 20:26:00.435000,GPU0,60,99,41
2016-11-21 20:26:02.437000,GPU0,61,99,43
2016-11-21 20:26:04.440000,GPU0,61,99,46
2016-11-21 20:26:06.443000,GPU0,62,99,50
2016-11-21 20:26:08.446000,GPU0,63,99,51
2016-11-21 20:26:10.449000,GPU0,63,99,50
2016-11-21 20:26:12.453000,GPU0,64,99,49
2016-11-21 20:26:14.456000,GPU0,65,99,50
2016-11-21 20:26:16.459000,GPU0,66,99,49
2016-11-21 20:26:18.462000,GPU0,66,99,49
2016-11-21 20:26:20.468000,GPU0,67,99,50
2016-11-21 20:26:22.470000,GPU0,67,99,50
2016-11-21 20:26:24.474000,GPU0,68,99,49
2016-11-21 20:26:26.477000,GPU0,68,99,49
2016-11-21 20:26:28.480000,GPU0,69,99,46
2016-11-21 20:26:30.482000,GPU0,70,99,46
2016-11-21 20:26:32.485000,GPU0,70,99,46
2016-11-21 20:26:34.488000,GPU0,71,99,48
2016-11-21 20:26:36.491000,GPU0,71,99,48
2016-11-21 20:26:38.494000,GPU0,72,99,46
2016-11-21 20:26:40.497000,GPU0,72,99,46
2016-11-21 20:26:42.500000,GPU0,73,99,46
2016-11-21 20:26:44.503000,GPU0,73,99,44
2016-11-21 20:26:46.506000,GPU0,73,99,43
2016-11-21 20:26:48.509000,GPU0,68,17,7
2016-11-21 20:26:50.512000,GPU0,72,99,57
2016-11-21 20:26:52.516000,GPU0,73,99,57
2016-11-21 20:26:54.519000,GPU0,65,1,1
2016-11-21 20:26:56.521000,GPU0,64,1,1
2016-11-21 20:26:58.526000,GPU0,62,5,3
2016-11-21 20:27:00.529000,GPU0,61,4,3
2016-11-21 20:27:02.532000,GPU0,60,3,6
2016-11-21 20:27:04.535000,GPU0,59,4,7
2016-11-21 20:27:06.537000,GPU0,58,3,6
2016-11-21 20:27:08.541000,GPU0,57,10,8
2016-11-21 20:27:10.544000,GPU0,57,5,7
2016-11-21 20:27:12.547000,GPU0,56,5,7
2016-11-21 20:27:14.549000,GPU0,56,6,8
2016-11-21 20:27:16.551000,GPU0,55,4,7
2016-11-21 20:27:18.554000,GPU0,55,6,7
2016-11-21 20:27:20.558000,GPU0,54,3,6
2016-11-21 20:27:22.561000,GPU0,54,5,7
2016-11-21 20:27:24.565000,GPU0,53,5,7
2016-11-21 20:27:26.567000,GPU0,53,7,8
2016-11-21 20:27:28.569000,GPU0,53,12,10
2016-11-21 20:27:30.571000,GPU0,52,4,7
2016-11-21 20:27:32.573000,GPU0,52,4,7
2016-11-21 20:27:34.576000,GPU0,51,4,7
2016-11-21 20:27:36.579000,GPU0,51,5,7
2016-11-21 20:27:38.582000,GPU0,51,15,12
2016-11-21 20:27:40.584000,GPU0,50,6,7
2016-11-21 20:27:42.587000,GPU0,50,16,11
2016-11-21 20:27:44.589000,GPU0,50,17,12
2016-11-21 20:27:46.592000,GPU0,49,4,7
2016-11-21 20:27:48.595000,GPU0,49,7,8
2016-11-21 20:27:50.598000,GPU0,49,6,7
2016-11-21 20:27:52.600000,GPU0,48,5,7
