Time, GPU Index, Temp C, GPU %, Memory %
2016-11-23 18:34:21.430000,GPU0,41,1,1
2016-11-23 18:34:23.433000,GPU0,41,1,1
2016-11-23 18:34:25.436000,GPU0,41,1,1
2016-11-23 18:34:27.438000,GPU0,50,99,70
2016-11-23 18:34:29.440000,GPU0,52,99,70
2016-11-23 18:34:31.443000,GPU0,53,99,70
2016-11-23 18:34:33.445000,GPU0,54,99,70
2016-11-23 18:34:35.448000,GPU0,56,99,71
2016-11-23 18:34:37.450000,GPU0,57,99,69
2016-11-23 18:34:39.453000,GPU0,58,99,70
2016-11-23 18:34:41.456000,GPU0,59,99,68
2016-11-23 18:34:43.459000,GPU0,60,99,68
2016-11-23 18:34:45.463000,GPU0,61,99,69
2016-11-23 18:34:47.466000,GPU0,61,99,69
2016-11-23 18:34:49.469000,GPU0,62,99,69
2016-11-23 18:34:51.472000,GPU0,63,99,69
2016-11-23 18:34:53.476000,GPU0,64,99,69
2016-11-23 18:34:55.480000,GPU0,64,99,69
2016-11-23 18:34:57.483000,GPU0,65,99,69
2016-11-23 18:34:59.486000,GPU0,66,99,68
2016-11-23 18:35:01.489000,GPU0,66,99,69
2016-11-23 18:35:03.492000,GPU0,67,99,68
2016-11-23 18:35:05.495000,GPU0,67,99,68
2016-11-23 18:35:07.498000,GPU0,68,99,69
2016-11-23 18:35:09.502000,GPU0,68,99,69
2016-11-23 18:35:11.505000,GPU0,69,99,67
2016-11-23 18:35:13.508000,GPU0,69,99,68
2016-11-23 18:35:15.512000,GPU0,70,99,68
2016-11-23 18:35:17.515000,GPU0,70,99,67
2016-11-23 18:35:19.518000,GPU0,71,99,68
2016-11-23 18:35:21.521000,GPU0,71,99,67
2016-11-23 18:35:23.524000,GPU0,72,99,69
2016-11-23 18:35:25.527000,GPU0,72,99,67
2016-11-23 18:35:27.530000,GPU0,73,99,67
2016-11-23 18:35:29.533000,GPU0,73,99,67
2016-11-23 18:35:31.536000,GPU0,65,1,1
2016-11-23 18:35:33.539000,GPU0,63,1,1
2016-11-23 18:35:35.541000,GPU0,62,1,1
2016-11-23 18:35:37.545000,GPU0,61,3,3
2016-11-23 18:35:39.547000,GPU0,59,1,6
2016-11-23 18:35:41.551000,GPU0,59,2,6
2016-11-23 18:35:43.555000,GPU0,58,4,7
2016-11-23 18:35:45.557000,GPU0,57,5,7
2016-11-23 18:35:47.560000,GPU0,56,4,7
2016-11-23 18:35:49.562000,GPU0,56,4,7
2016-11-23 18:35:51.565000,GPU0,55,7,8
2016-11-23 18:35:53.568000,GPU0,54,4,6
2016-11-23 18:35:55.572000,GPU0,54,2,6
2016-11-23 18:35:57.575000,GPU0,54,1,6
2016-11-23 18:35:59.579000,GPU0,53,4,6
2016-11-23 18:36:01.581000,GPU0,53,3,6
2016-11-23 18:36:03.584000,GPU0,52,2,6
2016-11-23 18:36:05.587000,GPU0,52,3,7
2016-11-23 18:36:07.590000,GPU0,51,1,5
2016-11-23 18:36:09.593000,GPU0,51,1,5
2016-11-23 18:36:11.596000,GPU0,51,1,5
2016-11-23 18:36:13.598000,GPU0,50,2,6
2016-11-23 18:36:15.601000,GPU0,50,2,6
2016-11-23 18:36:17.604000,GPU0,49,2,6
2016-11-23 18:36:19.606000,GPU0,49,3,7
2016-11-23 18:36:21.609000,GPU0,49,1,5
2016-11-23 18:36:23.612000,GPU0,48,1,5
2016-11-23 18:36:25.615000,GPU0,48,1,5
2016-11-23 18:36:27.618000,GPU0,48,3,6
2016-11-23 18:36:29.621000,GPU0,48,2,6
2016-11-23 18:36:31.624000,GPU0,47,3,6
2016-11-23 18:36:33.626000,GPU0,47,4,7
2016-11-23 18:36:35.629000,GPU0,47,1,5
2016-11-23 18:36:37.632000,GPU0,46,1,5
2016-11-23 18:36:39.635000,GPU0,46,1,5
2016-11-23 18:36:41.638000,GPU0,46,2,6
2016-11-23 18:36:43.641000,GPU0,46,2,6
2016-11-23 18:36:45.645000,GPU0,46,2,6
2016-11-23 18:36:47.648000,GPU0,45,4,7
2016-11-23 18:36:49.650000,GPU0,45,1,5
2016-11-23 18:36:51.654000,GPU0,45,2,6
2016-11-23 18:36:53.657000,GPU0,45,2,5
2016-11-23 18:36:55.660000,GPU0,45,3,6
2016-11-23 18:36:57.663000,GPU0,44,3,6
2016-11-23 18:36:59.668000,GPU0,44,4,6
2016-11-23 18:37:01.671000,GPU0,44,4,7
2016-11-23 18:37:03.673000,GPU0,44,2,6
2016-11-23 18:37:05.678000,GPU0,43,1,6
2016-11-23 18:37:07.680000,GPU0,43,2,6
2016-11-23 18:37:09.683000,GPU0,43,2,6
2016-11-23 18:37:11.686000,GPU0,43,2,6
2016-11-23 18:37:13.689000,GPU0,43,2,6
2016-11-23 18:37:15.693000,GPU0,42,4,7
2016-11-23 18:37:17.695000,GPU0,42,2,6
2016-11-23 18:37:19.698000,GPU0,42,2,6
2016-11-23 18:37:21.701000,GPU0,42,2,6
2016-11-23 18:37:23.704000,GPU0,42,4,7
2016-11-23 18:37:25.709000,GPU0,42,4,6
2016-11-23 18:37:27.712000,GPU0,42,4,7
2016-11-23 18:37:29.716000,GPU0,41,5,8
2016-11-23 18:37:31.719000,GPU0,41,2,6
2016-11-23 18:37:33.723000,GPU0,41,2,6
2016-11-23 18:37:35.726000,GPU0,41,2,6
2016-11-23 18:37:37.730000,GPU0,41,3,6
2016-11-23 18:37:39.733000,GPU0,41,3,6
2016-11-23 18:37:41.736000,GPU0,41,3,6
2016-11-23 18:37:43.739000,GPU0,40,4,7
2016-11-23 18:37:45.742000,GPU0,40,1,5
2016-11-23 18:37:47.746000,GPU0,40,1,5
2016-11-23 18:37:49.749000,GPU0,40,1,5
2016-11-23 18:37:51.752000,GPU0,40,3,6
2016-11-23 18:37:53.755000,GPU0,40,3,6
2016-11-23 18:37:55.759000,GPU0,40,3,6
2016-11-23 18:37:57.762000,GPU0,40,3,7
2016-11-23 18:37:59.766000,GPU0,40,1,5
2016-11-23 18:38:01.769000,GPU0,39,1,5
2016-11-23 18:38:03.773000,GPU0,39,1,5
2016-11-23 18:38:05.776000,GPU0,39,3,6
2016-11-23 18:38:07.779000,GPU0,39,3,6
2016-11-23 18:38:09.783000,GPU0,39,4,6
2016-11-23 18:38:11.787000,GPU0,39,5,8
2016-11-23 18:38:13.790000,GPU0,39,4,7
2016-11-23 18:38:15.793000,GPU0,39,3,6
2016-11-23 18:38:17.796000,GPU0,39,3,6
2016-11-23 18:38:19.799000,GPU0,39,6,7
2016-11-23 18:38:21.803000,GPU0,39,6,7
2016-11-23 18:38:23.806000,GPU0,39,4,6
2016-11-23 18:38:25.809000,GPU0,39,2,6
2016-11-23 18:38:27.812000,GPU0,38,1,5
2016-11-23 18:38:29.815000,GPU0,38,1,5
2016-11-23 18:38:31.818000,GPU0,38,1,5
2016-11-23 18:38:33.822000,GPU0,38,2,6
2016-11-23 18:38:35.825000,GPU0,38,2,6
2016-11-23 18:38:37.828000,GPU0,38,2,6
2016-11-23 18:38:39.832000,GPU0,38,2,6
2016-11-23 18:38:41.835000,GPU0,38,1,6
2016-11-23 18:38:43.838000,GPU0,38,1,5
2016-11-23 18:38:45.842000,GPU0,38,1,6
2016-11-23 18:38:47.845000,GPU0,38,4,6
2016-11-23 18:38:49.848000,GPU0,38,3,6
2016-11-23 18:38:51.852000,GPU0,38,3,6
2016-11-23 18:38:53.855000,GPU0,37,2,6
2016-11-23 18:38:55.859000,GPU0,37,1,5
2016-11-23 18:38:57.862000,GPU0,37,2,6
2016-11-23 18:38:59.866000,GPU0,37,2,5
2016-11-23 18:39:01.869000,GPU0,37,2,6
2016-11-23 18:39:03.872000,GPU0,37,3,6
2016-11-23 18:39:05.875000,GPU0,37,3,6
2016-11-23 18:39:07.879000,GPU0,37,3,6
2016-11-23 18:39:09.882000,GPU0,37,2,6
2016-11-23 18:39:11.885000,GPU0,37,2,6
2016-11-23 18:39:13.888000,GPU0,37,2,6
2016-11-23 18:39:15.891000,GPU0,37,4,6
2016-11-23 18:39:17.895000,GPU0,37,5,6
2016-11-23 18:39:19.898000,GPU0,37,3,6
2016-11-23 18:39:21.901000,GPU0,37,2,6
2016-11-23 18:39:23.904000,GPU0,37,2,6
2016-11-23 18:39:25.907000,GPU0,37,2,6
2016-11-23 18:39:27.911000,GPU0,36,2,6
2016-11-23 18:39:29.914000,GPU0,37,3,6
2016-11-23 18:39:31.917000,GPU0,37,1,1
2016-11-23 18:39:33.920000,GPU0,38,1,1
2016-11-23 18:39:35.923000,GPU0,38,0,1
2016-11-23 18:39:37.927000,GPU0,38,1,2
2016-11-23 18:39:39.930000,GPU0,37,1,6
2016-11-23 18:39:41.934000,GPU0,37,1,6
2016-11-23 18:39:43.938000,GPU0,37,4,6
2016-11-23 18:39:45.941000,GPU0,37,4,6
2016-11-23 18:39:47.944000,GPU0,37,3,6
2016-11-23 18:39:49.947000,GPU0,37,2,6
2016-11-23 18:39:51.951000,GPU0,37,2,6
