Time, GPU Index, Temp C, GPU %, Memory %
2016-11-21 18:53:59.630000,GPU0,35,6,7
2016-11-21 18:54:01.634000,GPU0,35,5,7
2016-11-21 18:54:03.637000,GPU0,34,7,7
2016-11-21 18:54:05.642000,GPU0,35,3,6
2016-11-21 18:54:07.646000,GPU0,35,12,12
2016-11-21 18:54:09.651000,GPU0,35,7,8
2016-11-21 18:54:11.655000,GPU0,34,7,8
2016-11-21 18:54:13.659000,GPU0,35,10,9
2016-11-21 18:54:15.662000,GPU0,34,5,7
2016-11-21 18:54:17.665000,GPU0,34,13,13
2016-11-21 18:54:19.669000,GPU0,34,4,6
2016-11-21 18:54:21.672000,GPU0,34,3,6
2016-11-21 18:54:23.677000,GPU0,35,10,8
2016-11-21 18:54:25.681000,GPU0,35,5,7
2016-11-21 18:54:27.685000,GPU0,34,16,14
2016-11-21 18:54:29.689000,GPU0,35,6,7
2016-11-21 18:54:31.692000,GPU0,35,4,7
2016-11-21 18:54:33.695000,GPU0,35,8,7
2016-11-21 18:54:35.699000,GPU0,34,4,7
2016-11-21 18:54:37.702000,GPU0,35,16,14
2016-11-21 18:54:39.706000,GPU0,35,5,7
2016-11-21 18:54:41.710000,GPU0,35,5,7
2016-11-21 18:54:43.713000,GPU0,34,10,8
2016-11-21 18:54:45.717000,GPU0,34,3,6
2016-11-21 18:54:47.720000,GPU0,34,13,13
2016-11-21 18:54:49.725000,GPU0,34,4,7
2016-11-21 18:54:51.728000,GPU0,35,5,7
2016-11-21 18:54:53.732000,GPU0,34,10,8
2016-11-21 18:54:55.736000,GPU0,35,6,7
2016-11-21 18:54:57.739000,GPU0,34,18,15
2016-11-21 18:54:59.744000,GPU0,34,4,7
2016-11-21 18:55:01.747000,GPU0,35,5,7
2016-11-21 18:55:03.750000,GPU0,34,7,8
2016-11-21 18:55:05.754000,GPU0,34,6,7
2016-11-21 18:55:07.758000,GPU0,34,19,14
2016-11-21 18:55:09.761000,GPU0,35,1,1
2016-11-21 18:55:11.765000,GPU0,36,2,1
2016-11-21 18:55:13.770000,GPU0,36,2,1
2016-11-21 18:55:15.773000,GPU0,36,2,3
2016-11-21 18:55:17.778000,GPU0,37,2,1
2016-11-21 18:55:19.782000,GPU0,37,2,1
2016-11-21 18:55:21.785000,GPU0,37,2,3
2016-11-21 18:55:23.790000,GPU0,36,6,4
2016-11-21 18:55:25.795000,GPU0,36,6,7
2016-11-21 18:55:27.798000,GPU0,36,16,14
2016-11-21 18:55:29.802000,GPU0,36,5,7
2016-11-21 18:55:31.806000,GPU0,36,5,7
2016-11-21 18:55:33.810000,GPU0,36,12,9
2016-11-21 18:55:35.814000,GPU0,36,6,7
2016-11-21 18:55:37.819000,GPU0,36,18,14
2016-11-21 18:55:39.824000,GPU0,36,7,8
2016-11-21 18:55:41.829000,GPU0,36,5,7
2016-11-21 18:55:43.832000,GPU0,36,8,8
2016-11-21 18:55:45.835000,GPU0,36,4,7
2016-11-21 18:55:47.840000,GPU0,36,18,15
2016-11-21 18:55:49.844000,GPU0,36,8,8
2016-11-21 18:55:51.849000,GPU0,35,8,8
2016-11-21 18:55:53.854000,GPU0,36,10,8
2016-11-21 18:55:55.858000,GPU0,36,3,6
2016-11-21 18:55:57.862000,GPU0,36,15,14
2016-11-21 18:55:59.865000,GPU0,36,5,7
2016-11-21 18:56:01.869000,GPU0,35,7,8
2016-11-21 18:56:03.872000,GPU0,35,11,9
2016-11-21 18:56:05.877000,GPU0,35,7,8
2016-11-21 18:56:07.880000,GPU0,35,19,15
2016-11-21 18:56:09.883000,GPU0,35,5,7
2016-11-21 18:56:11.887000,GPU0,35,5,7
2016-11-21 18:56:13.891000,GPU0,35,9,8
2016-11-21 18:56:15.896000,GPU0,35,7,7
2016-11-21 18:56:17.899000,GPU0,35,17,14
2016-11-21 18:56:19.903000,GPU0,35,7,8
2016-11-21 18:56:21.906000,GPU0,35,6,7
2016-11-21 18:56:23.910000,GPU0,35,8,8
2016-11-21 18:56:25.915000,GPU0,35,4,7
2016-11-21 18:56:27.920000,GPU0,35,16,14
2016-11-21 18:56:29.924000,GPU0,35,6,7
2016-11-21 18:56:31.929000,GPU0,35,6,7
2016-11-21 18:56:33.933000,GPU0,35,6,7
2016-11-21 18:56:35.936000,GPU0,35,6,7
2016-11-21 18:56:37.939000,GPU0,35,15,13
2016-11-21 18:56:39.943000,GPU0,35,4,7
2016-11-21 18:56:41.948000,GPU0,35,4,6
2016-11-21 18:56:43.952000,GPU0,35,6,7
2016-11-21 18:56:45.956000,GPU0,35,6,7
2016-11-21 18:56:47.961000,GPU0,35,13,11
2016-11-21 18:56:49.966000,GPU0,35,7,7
2016-11-21 18:56:51.970000,GPU0,35,5,7
2016-11-21 18:56:53.974000,GPU0,35,4,7
2016-11-21 18:56:55.978000,GPU0,35,4,7
2016-11-21 18:56:57.983000,GPU0,35,11,10
2016-11-21 18:56:59.987000,GPU0,35,7,7
2016-11-21 18:57:01.991000,GPU0,35,7,8
2016-11-21 18:57:03.996000,GPU0,35,7,7
2016-11-21 18:57:06.000000,GPU0,35,5,7
2016-11-21 18:57:08.005000,GPU0,35,8,9
2016-11-21 18:57:10.010000,GPU0,35,5,7
