Time, GPU Index, Temp C, GPU %, Memory %
2016-11-22 06:20:04.305000,GPU0,30,17,13
2016-11-22 06:20:06.308000,GPU0,30,27,19
2016-11-22 06:20:08.310000,GPU0,30,18,14
2016-11-22 06:20:10.313000,GPU0,30,18,14
2016-11-22 06:20:12.315000,GPU0,30,20,14
2016-11-22 06:20:14.317000,GPU0,38,99,64
2016-11-22 06:20:16.321000,GPU0,43,99,76
2016-11-22 06:20:18.323000,GPU0,44,99,73
2016-11-22 06:20:20.327000,GPU0,46,99,72
2016-11-22 06:20:22.330000,GPU0,47,99,71
2016-11-22 06:20:24.334000,GPU0,48,99,71
2016-11-22 06:20:26.338000,GPU0,49,99,72
2016-11-22 06:20:28.340000,GPU0,50,99,71
2016-11-22 06:20:30.343000,GPU0,51,99,70
2016-11-22 06:20:32.346000,GPU0,52,99,70
2016-11-22 06:20:34.349000,GPU0,53,99,71
2016-11-22 06:20:36.352000,GPU0,54,99,71
2016-11-22 06:20:38.356000,GPU0,55,99,71
2016-11-22 06:20:40.360000,GPU0,56,99,71
2016-11-22 06:20:42.364000,GPU0,57,99,70
2016-11-22 06:20:44.367000,GPU0,58,99,70
2016-11-22 06:20:46.370000,GPU0,59,99,71
2016-11-22 06:20:48.373000,GPU0,59,99,69
2016-11-22 06:20:50.375000,GPU0,60,99,69
2016-11-22 06:20:52.378000,GPU0,61,99,69
2016-11-22 06:20:54.382000,GPU0,61,99,69
2016-11-22 06:20:56.385000,GPU0,62,99,69
2016-11-22 06:20:58.388000,GPU0,63,99,69
2016-11-22 06:21:00.391000,GPU0,63,99,69
2016-11-22 06:21:02.394000,GPU0,64,99,68
2016-11-22 06:21:04.398000,GPU0,65,99,67
2016-11-22 06:21:06.401000,GPU0,65,99,67
2016-11-22 06:21:08.403000,GPU0,66,99,69
2016-11-22 06:21:10.407000,GPU0,66,99,69
2016-11-22 06:21:12.410000,GPU0,67,99,69
2016-11-22 06:21:14.413000,GPU0,67,99,69
2016-11-22 06:21:16.415000,GPU0,68,99,69
2016-11-22 06:21:18.418000,GPU0,62,16,2
2016-11-22 06:21:20.422000,GPU0,59,4,1
2016-11-22 06:21:22.425000,GPU0,58,4,2
2016-11-22 06:21:24.427000,GPU0,56,10,6
2016-11-22 06:21:26.430000,GPU0,54,18,15
2016-11-22 06:21:28.433000,GPU0,54,14,13
2016-11-22 06:21:30.435000,GPU0,53,28,20
2016-11-22 06:21:32.437000,GPU0,52,18,14
2016-11-22 06:21:34.440000,GPU0,52,19,14
2016-11-22 06:21:36.443000,GPU0,51,18,13
2016-11-22 06:21:38.446000,GPU0,51,20,14
2016-11-22 06:21:40.448000,GPU0,51,21,14
2016-11-22 06:21:42.452000,GPU0,50,20,14
2016-11-22 06:21:44.456000,GPU0,50,19,13
2016-11-22 06:21:46.459000,GPU0,49,21,14
2016-11-22 06:21:48.461000,GPU0,49,22,14
2016-11-22 06:21:50.465000,GPU0,48,21,14
2016-11-22 06:21:52.469000,GPU0,48,23,14
2016-11-22 06:21:54.471000,GPU0,48,23,14
2016-11-22 06:21:56.474000,GPU0,47,19,13
2016-11-22 06:21:58.477000,GPU0,47,19,13
2016-11-22 06:22:00.480000,GPU0,47,22,14
2016-11-22 06:22:02.483000,GPU0,46,24,15
2016-11-22 06:22:04.486000,GPU0,46,23,15
2016-11-22 06:22:06.488000,GPU0,46,22,14
2016-11-22 06:22:08.490000,GPU0,45,21,14
2016-11-22 06:22:10.494000,GPU0,45,19,13
2016-11-22 06:22:12.499000,GPU0,45,20,14
2016-11-22 06:22:14.503000,GPU0,45,29,18
2016-11-22 06:22:16.508000,GPU0,44,22,15
2016-11-22 06:22:18.510000,GPU0,44,21,14
2016-11-22 06:22:20.515000,GPU0,44,20,14
2016-11-22 06:22:22.519000,GPU0,44,25,15
2016-11-22 06:22:24.521000,GPU0,43,18,13
2016-11-22 06:22:26.524000,GPU0,43,22,14
2016-11-22 06:22:28.528000,GPU0,43,21,14
2016-11-22 06:22:30.532000,GPU0,43,25,15
2016-11-22 06:22:32.535000,GPU0,43,20,14
2016-11-22 06:22:34.537000,GPU0,42,22,14
2016-11-22 06:22:36.541000,GPU0,42,20,13
2016-11-22 06:22:38.545000,GPU0,42,17,13
2016-11-22 06:22:40.548000,GPU0,42,18,13
2016-11-22 06:22:42.551000,GPU0,42,18,13
2016-11-22 06:22:44.553000,GPU0,41,23,15
2016-11-22 06:22:46.557000,GPU0,41,21,14
2016-11-22 06:22:48.560000,GPU0,41,21,14
2016-11-22 06:22:50.563000,GPU0,41,36,21
2016-11-22 06:22:52.566000,GPU0,41,21,14
2016-11-22 06:22:54.568000,GPU0,41,24,15
2016-11-22 06:22:56.571000,GPU0,40,19,13
2016-11-22 06:22:58.575000,GPU0,40,23,15
2016-11-22 06:23:00.578000,GPU0,40,21,14
2016-11-22 06:23:02.582000,GPU0,40,19,13
2016-11-22 06:23:04.585000,GPU0,40,28,16
2016-11-22 06:23:06.588000,GPU0,40,25,16
2016-11-22 06:23:08.591000,GPU0,40,17,13
2016-11-22 06:23:10.596000,GPU0,39,28,18
2016-11-22 06:23:12.599000,GPU0,39,20,14
2016-11-22 06:23:14.602000,GPU0,39,27,16
2016-11-22 06:23:16.606000,GPU0,39,28,17
2016-11-22 06:23:18.609000,GPU0,39,31,19
2016-11-22 06:23:20.613000,GPU0,50,99,71
2016-11-22 06:23:22.617000,GPU0,52,99,70
2016-11-22 06:23:24.620000,GPU0,53,99,72
2016-11-22 06:23:26.625000,GPU0,54,99,71
2016-11-22 06:23:28.629000,GPU0,55,99,69
2016-11-22 06:23:30.632000,GPU0,56,99,70
